loading...
preprocessing...
build training set...
Vocabulary size
71291

# of training samples
167188440

Time Elapsed for SubSampling 00:01:01

Training Set before Subsampling : 167188440
Number of discard : 50169814
Training Set after Subsampling : 117018626
Loss : 7.591896
Loss : 7.186676
Loss : 7.181449
Loss : 6.658010
Loss : 6.617680
Loss : 6.762546
Loss : 7.207701
Loss : 7.076144
Loss : 7.147663
Loss : 7.325255
Loss : 7.135784
Loss : 7.260123
Loss : 7.944292
Loss : 6.799532
Loss : 7.081464
Loss : 6.761822
Loss : 6.991690
Loss : 7.239522
Loss : 7.167907
Loss : 7.125619
Loss : 7.051528
Loss : 7.107978
Loss : 7.043105
Loss : 7.081048
Loss : 7.142349
Loss : 7.167862
Loss : 7.134642
Loss : 6.964515
Loss : 7.685266
Loss : 7.270891
Loss : 7.190445
Loss : 7.136936
Loss : 7.021525
Loss : 7.470958
Loss : 7.088865
Loss : 6.699881
Loss : 6.736826
Loss : 7.498647
Loss : 7.230379
Loss : 7.307268
Loss : 6.963792
Loss : 7.162422
Loss : 6.683973
Loss : 7.222998
Loss : 7.223030
Loss : 7.271364
Loss : 7.313791
Loss : 7.097937
Loss : 6.961661
Loss : 7.102523
Loss : 7.264032
Loss : 7.168686
Loss : 7.252945
Loss : 6.899426
Loss : 7.373986
Loss : 7.099875
Loss : 7.185094
Loss : 7.372519
Loss : 7.230715
Loss : 6.982972
Loss : 7.092442
Loss : 7.031653
Loss : 6.939153
Loss : 7.036960
Loss : 7.085053
Loss : 7.141012
Loss : 7.255470
Loss : 7.074980
Loss : 7.056210
Loss : 6.962177
Loss : 7.141521
Loss : 7.035266
Loss : 7.069707
Loss : 7.289664
Loss : 7.131818
Loss : 6.961783
Loss : 7.053474
Loss : 7.016848
Loss : 6.904424
Loss : 7.156529
Loss : 6.771295
Loss : 7.498720
Loss : 7.003386
Loss : 7.046902
Loss : 7.027832
Loss : 7.181435
Loss : 7.028141
Loss : 6.922900
Loss : 7.134913
Loss : 6.935656
Loss : 7.175854
Loss : 6.873786
Loss : 6.695802
Loss : 6.804650
Loss : 7.041302
Loss : 6.742547
Loss : 6.882867
Loss : 7.042860
Loss : 6.946175
Loss : 6.956394
Loss : 7.045818
Loss : 7.324207
Loss : 7.024011
Loss : 6.906555
Loss : 6.869331
Loss : 6.912042
Loss : 7.313703
Loss : 7.065269
Loss : 7.165002
Loss : 7.117753
Loss : 7.199071
Loss : 6.873965
Loss : 7.079992
Loss : 7.108232
Loss : 6.940843
Loss : 6.969695
Loss : 6.874653
Loss : 7.208771
Loss : 7.244454
Loss : 7.176669
Loss : 7.224636
Loss : 7.103868
Loss : 7.043739
Loss : 7.218755
Loss : 7.228051
Loss : 7.014860
Loss : 7.243075
Loss : 6.992873
Loss : 7.252991
Loss : 7.112070
Loss : 7.270565
Loss : 7.014641
Loss : 7.127566
Loss : 7.040694
Loss : 6.918442
Loss : 7.177703
Loss : 7.112292
Loss : 7.183705
Loss : 6.826639
Loss : 6.792946
Loss : 7.305792
Loss : 7.210289
Loss : 6.814331
Loss : 6.880889
Loss : 7.339487
Loss : 6.911000
Loss : 6.644242
Loss : 6.629980
Loss : 6.585520
Loss : 6.867951
Loss : 6.535035
Loss : 6.980052
Loss : 7.308627
Loss : 6.955123
Loss : 7.107788
Loss : 7.223821
Loss : 7.197542
Loss : 6.711491
Loss : 7.282591
Loss : 7.212974
Loss : 6.544278
Loss : 7.357460
Loss : 7.144062
Loss : 7.022631
Loss : 7.321312
Loss : 6.856405
Loss : 6.877668
Loss : 6.948515
Loss : 7.000926
Loss : 6.829526
Loss : 6.897416
Loss : 7.315710
Loss : 7.376057
Loss : 7.153759
Loss : 7.043122
Loss : 7.136986
Loss : 6.554413
Loss : 7.002801
Loss : 7.083092
Loss : 7.258252
Loss : 6.211641
Loss : 7.134000
Loss : 7.153234
Loss : 7.212706
Loss : 6.855582
Loss : 6.942715
Loss : 7.006404
Loss : 6.168969
Loss : 6.076192
Loss : 6.721991
Loss : 7.066036
Loss : 6.951899
Loss : 7.207314
Loss : 6.793768
Loss : 7.172786
Loss : 6.777386
Loss : 7.324764
Loss : 6.806357
Loss : 7.093097
Loss : 6.997501
Loss : 7.057570
Loss : 7.377739
Loss : 6.808645
Loss : 7.101369
Loss : 7.052588
Loss : 6.976427
Loss : 7.184955
Loss : 6.974021
Loss : 7.155079
Loss : 6.910916
Loss : 7.100508
Loss : 7.001851
Loss : 7.079463
Loss : 6.987648
Loss : 6.879517
Loss : 7.229688
Loss : 7.326986
Loss : 7.266886
Loss : 6.661098
Loss : 6.974364
Loss : 7.016401
Loss : 7.090051
Loss : 6.935808
Loss : 7.655222
Loss : 6.893457
Loss : 7.015924
Loss : 6.938826
Loss : 6.987722
Loss : 7.089242
Loss : 7.113432
Loss : 6.862375
Loss : 6.979380
Loss : 6.995527
Loss : 7.366889
Loss : 7.216316
Loss : 7.032495
Loss : 6.599281
Loss : 6.970489
Loss : 7.200010
Loss : 6.937370
Loss : 7.079917
Loss : 7.144368
Loss : 7.052730
Loss : 6.968444
Loss : 6.925355
Loss : 7.103409
Loss : 6.833077
Loss : 7.157090
Loss : 7.195676
Loss : 7.067144
Loss : 7.233756
Loss : 7.141331
Loss : 6.138587
Loss : 7.049532
Loss : 7.140053
Loss : 7.064036
Loss : 6.867149
Loss : 7.003296
Loss : 6.946091
Loss : 7.042606
Loss : 7.195609
Loss : 7.008868
Loss : 7.325916
Loss : 7.173551
Loss : 7.062230
Loss : 7.050153
Loss : 7.096603
Loss : 7.030031
Loss : 7.515465
Loss : 7.345008
Loss : 7.127478
Loss : 7.326631
Loss : 7.193705
Loss : 7.113353
Loss : 6.985383
Loss : 7.160235
Loss : 7.189983
Loss : 7.030777
Loss : 7.214513
Loss : 6.993123
Loss : 6.848586
Loss : 6.928641
Loss : 6.952888
Loss : 6.927774
Loss : 7.083365
Loss : 6.831426
Loss : 6.946716
Loss : 7.044774
Loss : 6.811892
Loss : 7.023314
Loss : 6.948238
Loss : 6.824261
Loss : 6.759520
Loss : 7.008261
Loss : 7.115534
Loss : 7.075367
Loss : 6.939428
Loss : 7.108302
Loss : 7.050903
Loss : 6.706876
Loss : 7.116258
Loss : 7.057077
Loss : 6.974170
Loss : 6.764852
Loss : 6.709068
Loss : 6.600093
Loss : 6.592738
Loss : 6.581211
Loss : 6.684810
Loss : 6.662061
Loss : 6.441145
Loss : 6.840277
Loss : 6.571581
Loss : 7.158970
Loss : 7.126540
Loss : 7.173523
Loss : 7.005512
Loss : 7.117236
Loss : 6.724861
Loss : 6.974236
Loss : 7.186195
Loss : 6.857080
Loss : 6.996594
Loss : 7.235655
Loss : 6.995984
Loss : 6.976239
Loss : 7.267640
Loss : 7.087779
Loss : 6.838087
Loss : 7.414990
Loss : 6.642456
Loss : 6.494939
Loss : 7.071749
Loss : 7.353702
Loss : 6.641742
Loss : 6.792000
Loss : 7.253800
Loss : 7.137270
Loss : 6.925954
Loss : 6.772827
Loss : 6.910043
Loss : 6.851473
Loss : 7.165286
Loss : 7.150910
Loss : 6.753396
Loss : 6.982071
Loss : 7.026661
Loss : 6.511831
Loss : 6.589521
Loss : 6.990448
Loss : 7.427931
Loss : 7.026165
Loss : 7.085664
Loss : 7.022168
Loss : 6.946311
Loss : 6.818438
Loss : 7.009628
Loss : 7.224542
Loss : 7.228405
Loss : 7.222687
Loss : 6.969222
Loss : 7.171887
Loss : 7.079561
Loss : 7.225664
Loss : 6.840506
Loss : 6.585961
Loss : 7.071119
Loss : 6.908416
Loss : 6.711522
